,First Name,Last Name,University of Ph.D.,University of Ph.D. ID,Department of Ph.D.,Year of Ph.D.,School of Faculty Position,Current School ID,Department of Faculty Position,Year Faculty Started,Job Title,
114,Andrew,Glover,University of Minnesota,397,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Assistant Professor,
115,Sukjin,Han,Yale University,21,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Assistant Professor,
116,Brendan,Kline,Northwestern University,235,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Assistant Professor,
117,Dayanand,Manoli,University of California at Berkeley,1,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Assistant Professor,
118,Richard,Murphy,University College London,400,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Assistant Professor,
119,Caroline,Thomas,University College London,400,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Assistant Professor,
120,Haiqing,Xu,Pennsylvania State University,145,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Assistant Professor,
121,Valerie,Bencivenga,University of Toronto,45,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Senior Lecturer,
122,Wayne,Hickenbottom,University of Minnesota,397,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Senior Lecturer,
123,Stephanie,Houghton,Duke University,20,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Senior Lecturer and MA Program Director,
124,Mark,Feldman,UC Davis,6,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Lecturer,
125,Devrim,Ikizler,University of Texas at Austin,49,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Lecturer,
126,Shalah,Mostashari,University of Texas at Austin,49,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Lecturer,
127,Beatrix,Paal,Cornell University,245,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Lecturer ,
128,Helen,Schneider,Cornell University,245,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Lecturer,
129,John,Thompson,Auburn University,169,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Lecturer,
130,Brian,Trinque,University of Texas,49,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Lecturer,
131,Patrick,Van Horn,University of California at Irvine,7,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Lecturer,
132,Douglas,Dacy,Harvard University,22,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Professor Emeritus,
133,Daniel,Hamermesh,Yale University,21,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Sue Killam Professor Emeritus,
134,David,Kendrick,Massachusetts Institute of Technology,195,Unspecified,Unspecified,University of Texas at Austin,49,Economics,Unspecified,Professor Emeritus,
